tickers
AED=X
AFN=X
ALL=X
ANG=X
ARS=X
AUD=X
AWG=X
BBD=X
BDT=X
BGN=X
BHD=X
BIF=X
BMD=X
BND=X
BOB=X
BRL=X
BSD=X
BWP=X
BYN=X
BZD=X
CAD=X
CDF=X
CHF=X
CLP=X
CNY=X
COP=X
CRC=X
CUP=X
CVE=X
CZK=X
DJF=X
DKK=X
DOP=X
DZD=X
EGP=X
ETB=X
EUR=X
FJD=X
GBP=X
GHS=X
GMD=X
GNF=X
GTQ=X
GYD=X
HKD=X
HNL=X
HRK=X
HTG=X
HUF=X
IDR=X
ILS=X
INR=X
IQD=X
IRR=X
ISK=X
JMD=X
JOD=X
JPY=X
KES=X
KHR=X
KMF=X
KRW=X
KWD=X
KYD=X
KZT=X
LAK=X
LBP=X
LKR=X
LRD=X
LSL=X
LYD=X
MAD=X
MDL=X
MGA=X
MKD=X
MMK=X
MOP=X
MUR=X
MVR=X
MWK=X
MXN=X
MYR=X
MZN=X
NAD=X
NGN=X
NIO=X
NOK=X
NPR=X
NZD=X
OMR=X
PAB=X
PEN=X
PGK=X
PHP=X
PKR=X
PLN=X
PYG=X
QAR=X
RON=X
RSD=X
RUB=X
RWF=X
SAR=X
SCR=X
SDG=X
SEK=X
SGD=X
SHP=X
SLL=X
SOS=X
SVC=X
SYP=X
SZL=X
THB=X
TMT=X
TND=X
TRY=X
TTD=X
TWD=X
TZS=X
UAH=X
UGX=X
UYU=X
UZS=X
VEF=X
VND=X
VUV=X
XAF=X
XCD=X
XOF=X
XPF=X
YER=X
ZAR=X
ZMW=X
AEDAUD=X
AEDBHD=X
AEDBWP=X
AEDCAD=X
AEDCHF=X
AEDCNY=X
AEDCZK=X
AEDDKK=X
AEDEGP=X
AEDEUR=X
AEDGBP=X
AEDHKD=X
AEDHUF=X
AEDIDR=X
AEDILS=X
AEDINR=X
AEDIQD=X
AEDISK=X
AEDJOD=X
AEDJPY=X
AEDKES=X
AEDKRW=X
AEDKWD=X
AEDLKR=X
AEDMAD=X
AEDMUR=X
AEDMXN=X
AEDNOK=X
AEDNZD=X
AEDOMR=X
AEDPHP=X
AEDPKR=X
AEDPLN=X
AEDQAR=X
AEDRUB=X
AEDSAR=X
AEDSEK=X
AEDSGD=X
AEDTHB=X
AEDTND=X
AEDTRY=X
