date_created,margin,mcr,params,ticker,window_length
2018-07-08 22:33:12.250914,0.0,0.07850360017097513,"{""node1"": 35, ""batch_size"": 16, ""input_dim"": 6, ""output_dim"": 1, ""node2"": 38, ""epochs"": 3}",ABEV,16.0
2018-07-08 23:06:44.056760,0.0,0.14664073719623666,"{""node1"": 32, ""batch_size"": 32, ""input_dim"": 6, ""output_dim"": 1, ""node2"": 52, ""epochs"": 3}",ALK,16.0
2018-07-08 23:35:17.294715,0.0,0.1184364073645224,"{""node1"": 68, ""batch_size"": 32, ""input_dim"": 6, ""output_dim"": 1, ""node2"": 119, ""epochs"": 3}",BREW,16.0
2018-07-09 00:05:05.668381,0.0,0.5222975389366017,"{""node1"": 25, ""batch_size"": 16, ""input_dim"": 6, ""output_dim"": 1, ""node2"": 126, ""epochs"": 3}",CCU,16.0
2018-07-09 00:42:25.085299,0.0,0.2126802014842405,"{""node1"": 25, ""batch_size"": 16, ""input_dim"": 6, ""output_dim"": 1, ""node2"": 117, ""epochs"": 8}",CEA,16.0
2018-07-09 01:21:47.936550,0.0,0.06125607366890666,"{""node1"": 96, ""batch_size"": 8, ""input_dim"": 6, ""output_dim"": 1, ""node2"": 25, ""epochs"": 8}",HA,16.0
2018-07-09 01:53:02.322705,0.0,0.16614285520491673,"{""node1"": 121, ""batch_size"": 8, ""input_dim"": 6, ""output_dim"": 1, ""node2"": 78, ""epochs"": 3}",LTM,16.0
2018-07-09 02:23:59.676267,1.0139999999999985,0.21452419490590904,"{""node1"": 111, ""batch_size"": 32, ""input_dim"": 6, ""output_dim"": 1, ""node2"": 108, ""epochs"": 5}",LUV,16.0
2018-07-09 03:00:14.793578,0.0,0.06908853953166115,"{""node1"": 67, ""batch_size"": 32, ""input_dim"": 6, ""output_dim"": 1, ""node2"": 81, ""epochs"": 5}",RYAAY,16.0
2018-07-09 03:38:03.008582,0.0,0.029081765532824818,"{""node1"": 123, ""batch_size"": 8, ""input_dim"": 6, ""output_dim"": 1, ""node2"": 37, ""epochs"": 8}",SAM,16.0
2018-07-09 04:33:42.776354,0.0,0.26243633671565275,"{""node1"": 26, ""batch_size"": 8, ""input_dim"": 6, ""output_dim"": 1, ""node2"": 88, ""epochs"": 8}",SKYW,16.0
2018-07-09 05:21:30.444818,0.0,0.3774805777971779,"{""node1"": 33, ""batch_size"": 8, ""input_dim"": 6, ""output_dim"": 1, ""node2"": 105, ""epochs"": 5}",TAP,16.0
2018-07-09 06:17:14.864505,0.0,0.22014534429414093,"{""node1"": 16, ""batch_size"": 8, ""input_dim"": 6, ""output_dim"": 1, ""node2"": 41, ""epochs"": 8}",ZNH,16.0
2018-07-10 20:12:47.155296,0.0,0.6945090981987901,"{""batch_size"": 32, ""node2"": 62, ""output_dim"": 1, ""epochs"": 3, ""input_dim"": 6, ""node1"": 21}",JBLU,16.0
2018-07-10 20:38:10.663917,0.0,3.5560977678746406,"{""batch_size"": 16, ""node2"": 75, ""output_dim"": 1, ""epochs"": 5, ""input_dim"": 6, ""node1"": 75}",GOL,16.0
2018-07-10 20:57:05.481241,0.0,0.5086409031667165,"{""batch_size"": 32, ""node2"": 79, ""output_dim"": 1, ""epochs"": 3, ""input_dim"": 6, ""node1"": 29}",AAL,16.0
2018-07-10 21:16:04.441490,0.0,0.2632790219865274,"{""batch_size"": 16, ""node2"": 76, ""output_dim"": 1, ""epochs"": 3, ""input_dim"": 6, ""node1"": 47}",CPA,16.0
2018-07-10 21:44:35.534596,0.0,0.4813244704923224,"{""batch_size"": 16, ""node2"": 16, ""output_dim"": 1, ""epochs"": 5, ""input_dim"": 6, ""node1"": 79}",UAL,16.0
2018-07-10 22:06:09.304785,0.0,0.1873687169721295,"{""batch_size"": 8, ""node2"": 129, ""output_dim"": 1, ""epochs"": 3, ""input_dim"": 6, ""node1"": 18}",ALGT,16.0
2018-07-10 22:36:48.548468,0.0,0.4255987391742607,"{""batch_size"": 8, ""node2"": 30, ""output_dim"": 1, ""epochs"": 5, ""input_dim"": 6, ""node1"": 80}",DAL,16.0
2018-07-10 22:58:50.289645,0.0,0.3711188746545837,"{""batch_size"": 8, ""node2"": 37, ""output_dim"": 1, ""epochs"": 8, ""input_dim"": 6, ""node1"": 85}",BUD,16.0
2018-07-10 23:17:57.397056,0.0,0.3071784969324753,"{""batch_size"": 8, ""node2"": 26, ""output_dim"": 1, ""epochs"": 5, ""input_dim"": 6, ""node1"": 34}",SAVE,16.0
2018-07-10 23:40:36.905658,0.0,1.5120299865141231,"{""batch_size"": 16, ""node2"": 43, ""output_dim"": 1, ""epochs"": 8, ""input_dim"": 6, ""node1"": 118}",ERA,16.0
2018-07-11 00:02:50.984381,,,{},VLRS,
2018-07-11 00:25:27.685869,,,{},AVH,
2018-07-11 00:51:03.462272,0.0,0.8959332617529849,"{""batch_size"": 16, ""node2"": 28, ""output_dim"": 1, ""epochs"": 8, ""input_dim"": 6, ""node1"": 22}",NBEV,16.0
2018-07-11 01:17:12.586919,,,{},AZUL,
