date_created,margin,mcr,ticker,window_length
2018-06-22 21:15:20.399826,1.01,0.07,ABEV,16
2018-06-23 19:09:58.392842,0.0,0.08,ADBE,16
2018-06-23 19:26:28.852547,0.0,0.06,ADSK,16
2018-06-23 19:42:51.077191,0.0,1.0,AGYS,16
2018-06-23 20:02:57.700601,0.0,0.64,AMSWA,16
2018-06-23 20:24:58.425955,0.0,0.02,ANSS,16
2018-06-23 20:46:48.685681,0.0,1.38,ASUR,16
2018-06-23 21:16:16.749019,0.0,6.28,ATTU,16
2018-06-23 21:53:54.297838,0.0,9.46,AWRE,16
2018-06-23 22:31:11.118905,0.0,82.23,BSQR,16
2018-06-23 23:21:14.072014,0.0,12418.4,BVSN,16
2018-06-24 00:23:04.066854,0.0,2.22,CA,16
2018-06-24 01:42:28.121012,0.0,0.6,CDNS,16
2018-06-24 03:19:17.328560,0.0,0.35,CHKP,16
2018-06-24 05:12:12.681537,0.0,2.13,CTG,16
2018-06-24 07:20:46.902186,0.0,0.51,CTXS,16
2018-06-24 10:22:29.789194,0.0,60.95,CYRN,16
2018-06-24 13:43:15.693186,0.0,1.75,DMRC,16
