date_created,margin,mcr,params,ticker,window_length
2018-06-26 14:34:00.998980,0.0,0.07,"{""input_dim"": 6, ""node1"": 27, ""node2"": 84, ""output_dim"": 1, ""batch_size"": 8}",ABEV,16
2018-06-26 15:19:38.020155,0.0,0.14,"{""input_dim"": 6, ""node1"": 37, ""node2"": 70, ""output_dim"": 1, ""batch_size"": 8}",ALK,16
2018-06-26 16:08:24.752608,0.0,0.11,"{""input_dim"": 6, ""node1"": 84, ""node2"": 86, ""output_dim"": 1, ""batch_size"": 16}",BREW,16
2018-06-26 16:58:25.910919,0.0,0.52,"{""input_dim"": 6, ""node1"": 73, ""node2"": 76, ""output_dim"": 1, ""batch_size"": 8}",CCU,16
2018-06-26 22:45:27.809070,0.0,0.21,"{""node1"": 72, ""node2"": 39, ""batch_size"": 8, ""input_dim"": 6, ""output_dim"": 1}",CEA,16
2018-07-02 13:56:12.690184,0.0,0.06,"{""input_dim"": 6, ""node2"": 62, ""node1"": 53, ""batch_size"": 16, ""output_dim"": 1}",HA,16
2018-07-02 14:33:45.771470,0.0,0.16,"{""input_dim"": 6, ""node2"": 25, ""node1"": 43, ""batch_size"": 16, ""output_dim"": 1}",LTM,16
2018-07-04 00:26:49.097311,0.0,0.22,"{""input_dim"": 6, ""output_dim"": 1, ""node2"": 15, ""node1"": 72, ""epochs"": 12, ""batch_size"": 16}",LUV,16
2018-07-04 01:14:10.213110,0.0,0.07,"{""input_dim"": 6, ""output_dim"": 1, ""node2"": 32, ""node1"": 69, ""epochs"": 12, ""batch_size"": 16}",RYAAY,16
2018-07-04 02:05:23.570699,0.0,0.03,"{""input_dim"": 6, ""output_dim"": 1, ""node2"": 63, ""node1"": 44, ""epochs"": 8, ""batch_size"": 32}",SAM,16
2018-07-04 03:11:43.779302,0.0,0.29,"{""input_dim"": 6, ""output_dim"": 1, ""node2"": 48, ""node1"": 61, ""epochs"": 3, ""batch_size"": 8}",SKYW,16
2018-07-04 04:11:05.895111,0.0,0.4,"{""input_dim"": 6, ""output_dim"": 1, ""node2"": 20, ""node1"": 117, ""epochs"": 12, ""batch_size"": 16}",TAP,16
2018-07-04 05:07:17.585928,0.0,0.22,"{""input_dim"": 6, ""output_dim"": 1, ""node2"": 61, ""node1"": 30, ""epochs"": 3, ""batch_size"": 16}",ZNH,16
2018-07-04 05:56:38.175123,0.0,0.7,"{""input_dim"": 6, ""output_dim"": 1, ""node2"": 52, ""node1"": 39, ""epochs"": 3, ""batch_size"": 32}",JBLU,16
2018-07-04 06:48:46.210984,0.0,4.84,"{""input_dim"": 6, ""output_dim"": 1, ""node2"": 35, ""node1"": 93, ""epochs"": 3, ""batch_size"": 32}",GOL,16
