Ticker;Price;Volatility
PKD;0,45;9,76%
MEET;4;9,76%
PLG;0,12;9,71%
WHD;31,91;9,71%
FLKS;3,57;9,71%
BMRA;4,21;9,68%
CMCM;12,3;9,68%
NINE;32,85;9,67%
CEI;0,3259;9,62%
CBK;0,7999;9,59%
ANFI;2,5;9,57%
NEWA;14,79;9,54%
MIND;4,38;9,50%
RSPP;41,09;9,50%
FAT;6,91;9,49%
OBCI;3,71;9,49%
LIQT;0,65;9,47%
AMEH;14,96;9,42%
INNT;13,2;9,42%
ARCI;0,758;9,41%
UG;17,95;9,40%
TYME;3,3;9,39%
SSKN;1,74;9,38%
HZN;6,15;9,36%
ISIG;1,82;9,36%
NETE;7,05;9,36%
MVIS;1,53;9,33%
FTD;5,54;9,32%
CREG;1,81;9,30%
BOMN;25,13;9,26%
VHC;3,45;9,23%
CDXC;3,59;9,20%
RFL;9,92;9,18%
NGL;11,6;9,17%
KONE;7,62;9,15%
CUI;2,76;9,12%
NYNY;22,35;9,09%
SDT;1,15;9,09%
TLRD;30,38;9,07%
JMBA;10,18;9,06%
SNDE;5,44;9,04%
ATOS;3,05;9,03%
MTFB;9;9,00%
HIMX;8,02;8,98%
XBIO;1,63;8,96%
NDRA;1,92;8,95%
WPRT;2,5;8,92%
VCEL;14,4;8,92%
TIG;37,1;8,89%
CXRX;0,2305;8,87%
FCAU;21,55;8,86%
CLMT;8,55;8,86%
AVXL;2,87;8,85%
ITRM;12,24;8,85%
CXO;129,21;8,83%
GNPX;10,75;8,81%
SPRO;11,4;8,81%
ATXI;4,2;8,78%
XXII;2,23;8,78%
AIRI;1,7;8,75%
NTLA;25,45;8,74%
VTVT;1,88;8,74%
SQNS;1,86;8,74%
PRPO;0,47;8,72%
PERI;1,2;8,70%
UBX;15,11;8,69%
NETS;2,8;8,68%
WINA;146,3;8,62%
PXS;1,18;8,62%
ALJJ;1,58;8,61%
MOMO;49,6;8,61%
FOSL;23,7;8,60%
BLCM;8,53;8,59%
PTCT;36,11;8,58%
NCTY;1,07;8,57%
ADMP;4,15;8,54%
SSLJ;3,98;8,53%
PLYA;10,77;8,52%
GEN;2,22;8,51%
RARX;7,45;8,49%
NDLS;8,5;8,48%
MDXG;7,93;8,48%
JCTCF;7,85;8,47%
GOL;6,98;8,47%
BELFA;18,9;8,44%
ROSEU;9,14;8,43%
MEIP;3,43;8,41%
TITN;17,21;8,38%
BILI;16,91;8,38%
CVRR;24,15;8,37%
VMW;145,93;8,37%
EXPR;9,15;8,33%
SMRT;2,96;8,33%
UMRX;12,5;8,33%
SMTS;2,72;8,30%
SENEB;29,95;8,27%
SUMR;1,23;8,26%
PDVW;26,6;8,26%
NBEV;1,76;8,24%
ALRN;5,44;8,24%
YUMA;0,3799;8,22%
CVRS;0,7768;8,21%
MYGN;39,47;8,19%
RCKY;28,95;8,18%
PAGS;34,5;8,18%
GLF;35,29;8,16%
IBIO;0,1444;8,15%
IVTY;3,5;8,15%
FRD;6,3;8,15%
CALX;7,3;8,15%
LBIX;1,19;8,11%
CVNA;28,17;8,11%
EGC;7,4;8,10%
EPE;2,77;8,09%
LLIT;1,96;8,09%
CYTX;2,79;8,08%
CHMA;1,6;8,07%
ELTK;4,2;8,07%
LRAD;2,02;8,07%
PEIX;3,25;8,06%
RCKT;19,85;8,06%
ZOM;1,86;8,06%
SMAR;26,27;8,03%
BAK;23,86;8,01%
SOI;14,97;8,01%
FVE;1,35;8,00%
FELP;3,84;7,98%
EYPT;2,28;7,97%
QTM;3,04;7,96%
PME;3,3;7,95%
WTTR;13,45;7,94%
GNMK;7,26;7,94%
ASCMA;1,84;7,93%
SPNE;12,01;7,92%
PGNX;7,99;7,91%
XOMA;22,59;7,91%
MRIN;6,3;7,91%
ARCT;5,63;7,90%
APPN;32,79;7,87%
TMQ;1,28;7,85%
SPN;10,42;7,85%
TIK;2,75;7,85%
TRVN;1,8;7,82%
NFEC;2,56;7,82%
QD;8,61;7,80%
LBRT;20,07;7,79%
CDEV;16,92;7,78%
ODT;25,82;7,78%
ATNM;0,4;7,77%
CLSD;9,75;7,76%
NAOV;4,65;7,76%
MDGS;1,34;7,75%
CIX;14,6;7,71%
CSIQ;15,69;7,71%
DSX;4,45;7,71%
ARDM;1,46;7,69%
BVX;4,19;7,69%
BAND;39,45;7,63%
LCII;83,45;7,62%
ASPU;7,37;7,59%
TGC;0,6953;7,58%
SBBP;6,55;7,57%
GST;0,66;7,56%
TUES;2,85;7,55%
NNDM;1,34;7,55%
XPL;0,435;7,54%
ETM;6,9;7,52%
HK;4,56;7,52%
HPR;6,95;7,51%
NAVB;0,2267;7,50%
CVI;40,1;7,49%
GDP;13,63;7,48%
TAP.A;67;7,46%
MBRX;1,83;7,39%
SBPH;14,1;7,39%
ICPT;74,3;7,38%
EFOI;2,27;7,37%
DRRX;2,03;7,37%
TTD;86,64;7,37%
VHI;6,19;7,36%
LAZY;8,79;7,36%
ZS;28,18;7,36%
CSBR;4,97;7,34%
ONTX;0,409;7,33%
LTRX;3,46;7,33%
SNSS;2,2;7,32%
AT;2,2;7,32%
ULTA;245,15;7,31%
MYND;2,45;7,31%
SSI;2,57;7,30%
ABUS;6,1;7,30%
CUE;13,6;7,29%
OPTN;22,4;7,29%
GME;13,72;7,27%
IVC;17,4;7,27%
FLNT;2,85;7,27%
EBR.B;4,48;7,26%
CYCC;1,41;7,25%
FRTA;8,41;7,22%
CGIX;0,9846;7,22%
IDRA;2,01;7,22%
